Open time,Open,High,Low,Close,Volume
5/10/2022,2229,2457.34,2200,2342.05,1550626.139
5/11/2022,2342.04,2451.37,2005,2084.99,2022864.838
5/12/2022,2084.99,2195,1800,1960.22,2305192.908
5/13/2022,1960.22,2147.54,1940.23,2009.69,1134042.339
5/14/2022,2009.69,2070.06,1951.21,2056.48,563788.3078
5/15/2022,2056.47,2167,2000.68,2145.29,514398.2587
5/16/2022,2145.29,2145.29,1979.12,2023.66,822070.8531
5/17/2022,2023.66,2122.42,2008,2090.72,568249.0448
5/18/2022,2090.72,2110.72,1908,1915.11,631577.2341
5/19/2022,1915.11,2040.39,1903.18,2019.55,741476.9794
5/20/2022,2019.55,2064,1923,1959.08,576981.5371
5/21/2022,1959.08,1990.86,1937.36,1975.07,238869.7632
5/22/2022,1975.06,2056.41,1966.33,2043.19,355735.1927
5/23/2022,2043.19,2088.5,1957.12,1973.32,636085.0224
5/24/2022,1973.33,1993.83,1913.02,1979.41,534096.972
5/25/2022,1979.4,2022.34,1934.61,1942.63,524786.3091
5/26/2022,1942.64,1966.01,1735,1792.23,1168740.575
5/27/2022,1792.24,1822.26,1703,1727.27,1296693.285
5/28/2022,1727.26,1808.98,1722.26,1792.22,558271.1818
5/29/2022,1792.21,1827.4,1759.96,1813.64,432430.611
5/30/2022,1813.64,2013,1803.18,1998.78,814922.8359
5/31/2022,1998.78,2016.45,1925,1941.9,751103.4226
6/1/2022,1941.9,1972.58,1763.75,1817.95,1037841.271
6/2/2022,1817.96,1853.05,1782.42,1834.08,788784.4017
6/3/2022,1834.09,1843.91,1737,1775.12,741282.5346
6/4/2022,1775.13,1816,1748.43,1804.58,388279.4579
6/5/2022,1804.58,1830.17,1773.05,1806.23,371974.5061
6/6/2022,1806.22,1920,1804.35,1859.84,804250.3567
6/7/2022,1859.84,1874.98,1725.13,1813.33,1397598.229
6/8/2022,1813.33,1838.77,1765.28,1791.88,941510.1373
6/9/2022,1791.88,1833,1777.33,1788.81,535310.9618
6/10/2022,1788.8,1804.32,1655.93,1662.91,955035.7924
6/11/2022,1662.91,1682.21,1496.74,1532.89,1220325.254
6/12/2022,1532.89,1547,1423,1434.84,1563225.37
6/13/2022,1434.84,1455,1165.45,1209.82,3626351.665
6/14/2022,1209.35,1268.45,1075.8,1208.9,2716493.801
6/15/2022,1208.9,1250,1014.4,1237.52,3114823.136
6/16/2022,1237.53,1257.85,1051.55,1068.5,1447386.83
6/17/2022,1068.5,1118,1051.11,1086.94,1220677.949
6/18/2022,1086.93,1097.58,881.56,995.13,2308983.519
6/19/2022,995.12,1158.62,936.15,1128.53,2018599.45
6/20/2022,1128.53,1170,1053,1128.24,1721772.913
6/21/2022,1128.24,1194,1109.23,1125.85,1306095.376
6/22/2022,1125.86,1127.33,1043.65,1050.19,1306959.859
6/23/2022,1050.19,1155,1045.3,1144.72,1278257.09
6/24/2022,1144.71,1245.43,1132,1225.02,1337137.483
6/25/2022,1225.02,1256.77,1180,1242.36,861986.6177
6/26/2022,1242.31,1280,1194.6,1197.79,884184.273
6/27/2022,1197.79,1238.93,1172.49,1192.51,868734.2061
6/28/2022,1192.51,1237.99,1136.32,1144.05,1104065.221
6/29/2022,1144.05,1156.8,1087.42,1100.21,1295517.796
6/30/2022,1100.21,1106.62,998,1071.01,1420670.366
7/1/2022,1071.02,1117,1033.44,1059.73,1562255.144
7/2/2022,1059.73,1078.88,1028.29,1067.01,714812.0804
7/3/2022,1067.01,1088.34,1040.78,1074.26,644746.3337
7/4/2022,1074.26,1160.9,1045.37,1151,1150108.986
7/5/2022,1151.01,1174.9,1076.34,1132.5,1398961.45
7/6/2022,1132.51,1205,1111.44,1186.57,1211768.076
7/7/2022,1186.57,1254.29,1163.18,1237.49,1001316.079
7/8/2022,1237.49,1276.46,1193.15,1214.04,1189518.363
7/9/2022,1214.03,1235.4,1204.67,1217.02,576337.1809
7/10/2022,1217.02,1219.95,1153,1168.36,1018038.651
7/11/2022,1168.37,1171.29,1091.71,1096.4,1201652.305
7/12/2022,1096.37,1098.26,1033.46,1038.58,1261349.632
7/13/2022,1038.58,1119.18,1006.32,1115,2035605.83
7/14/2022,1115.01,1214.65,1072.11,1193.42,1605101.926
7/15/2022,1193.42,1287.82,1181.05,1231.25,1466037.258
7/16/2022,1231.25,1422.91,1191.23,1355.85,1493809.923
7/17/2022,1355.84,1387,1319.04,1338.65,1246202.88
7/18/2022,1338.65,1597.47,1336.07,1581.04,2029918.765
7/19/2022,1581.03,1631,1493.11,1542.32,1846048.682
7/20/2022,1542.33,1620.4,1484.23,1521.58,1351177.425
7/21/2022,1521.63,1605.98,1463.56,1575.45,1247327.496
7/22/2022,1575.45,1650.05,1516.11,1535.27,1170723.087
7/23/2022,1535.27,1596.51,1488,1548.67,851284.7339
7/24/2022,1548.66,1664.34,1545.67,1597.7,1009935.9
7/25/2022,1597.7,1609.55,1435.58,1440.79,1418390.981
7/26/2022,1440.79,1454.11,1356.17,1449.12,1199643.741
7/27/2022,1449.12,1644.44,1420.83,1635.74,1513426.041
7/28/2022,1635.74,1784.79,1593.27,1724.52,1578145.076
